ChamadoID,Data_Abertura,Data_Fechamento,UsuarioID,TecnicoID,CategoriaID,Prioridade,Status,Descricao,Tempo_Resolucao_Horas,Dentro_SLA,Reaberto
102698,2025-01-01 15:37:00,2025-01-02 12:56:51.318042096,29,7,5,Baixa,Fechado,Toner não reconhecido,21.33,Sim,Não
109962,2025-01-01 17:10:00,2025-01-01 20:17:52.969730422,178,1,8,Crítica,Fechado,Relatório não carrega,3.13,Sim,Não
104899,2025-01-01 17:20:00,2025-01-01 19:03:04.521960411,240,4,6,Média,Fechado,Outlook com erro,1.72,Sim,Não
109258,2025-01-01 17:31:00,2025-01-01 22:39:16.879689096,16,3,1,Média,Fechado,Computador não liga,5.14,Sim,Não
105256,2025-01-01 17:46:00,,72,5,4,Alta,Em Atendimento,Sem internet,2.57,Sim,Não
100703,2025-01-01 18:32:00,,4,6,7,Baixa,Em Atendimento,Incidente de segurança,2.63,Sim,Não
105702,2025-01-02 08:27:00,2025-01-02 15:15:06.189444338,108,2,3,Média,Fechado,Permissão de pasta,6.8,Sim,Não
108301,2025-01-02 09:23:00,2025-01-02 18:20:33.756534003,88,4,1,Média,Fechado,Troca de teclado,8.96,Sim,Não
106835,2025-01-02 09:30:00,2025-01-02 11:50:43.310038988,106,5,7,Média,Fechado,Alerta de segurança,2.35,Sim,Não
106512,2025-01-02 10:31:00,2025-01-02 13:00:01.497389478,30,8,3,Média,Fechado,Senha bloqueada,2.48,Sim,Não
104022,2025-01-02 10:47:00,2025-01-02 13:27:49.921109918,81,8,4,Média,Fechado,VPN não conecta,2.68,Sim,Não
101357,2025-01-02 12:24:00,,41,2,2,Alta,Em Atendimento,Instalação de software,5.28,Sim,Não
101542,2025-01-02 12:51:00,2025-01-02 21:53:30.379479378,86,2,1,Média,Fechado,Computador não liga,9.04,Sim,Não
105425,2025-01-02 12:58:00,,172,4,4,Baixa,Pendente,VPN não conecta,3.65,Sim,Não
108370,2025-01-02 13:45:00,2025-01-02 17:27:53.388975603,24,2,5,Alta,Fechado,Fila de impressão travada,3.71,Sim,Não
101261,2025-01-02 15:05:00,,137,3,4,Baixa,Em Atendimento,Wi-Fi instável,0.6,Sim,Não
108454,2025-01-02 16:17:00,2025-01-02 16:55:47.050654614,16,6,2,Baixa,Fechado,Atualização necessária,0.65,Sim,Não
106461,2025-01-02 16:53:00,2025-01-02 19:23:44.290577606,100,8,1,Baixa,Fechado,Troca de teclado,2.51,Sim,Não
100492,2025-01-03 07:21:00,2025-01-03 16:44:49.177622050,130,5,1,Baixa,Fechado,Notebook lento,9.4,Sim,Não
102988,2025-01-03 07:25:00,,79,8,6,Crítica,Aberto,E-mail não sincroniza,0.73,Sim,Não
103629,2025-01-03 09:51:00,2025-01-03 10:09:00.000000000,79,3,6,Alta,Fechado,E-mail não sincroniza,0.3,Sim,Não
107901,2025-01-03 11:10:00,2025-01-03 13:58:02.820042115,78,3,3,Alta,Fechado,Senha bloqueada,2.8,Sim,Sim
105226,2025-01-03 11:38:00,2025-01-03 13:47:24.614347096,90,8,3,Média,Fechado,Criação de usuário,2.16,Sim,Não
109044,2025-01-03 12:18:00,2025-01-03 16:51:15.274778544,154,1,3,Média,Fechado,Senha bloqueada,4.55,Sim,Não
102847,2025-01-03 12:58:00,,36,5,8,Baixa,Em Atendimento,Relatório não carrega,5.71,Sim,Não
103470,2025-01-03 13:29:00,2025-01-03 15:53:45.085996094,49,1,8,Baixa,Fechado,Sistema indisponível,2.41,Sim,Não
107953,2025-01-03 14:55:00,,17,6,1,Média,Aberto,Notebook lento,16.3,Sim,Não
106328,2025-01-03 15:49:00,,152,4,5,Baixa,Aberto,Impressora não imprime,13.98,Sim,Não
101504,2025-01-03 16:20:00,2025-01-03 17:48:40.050143119,147,3,3,Média,Fechado,Senha bloqueada,1.48,Sim,Não
101049,2025-01-03 16:56:00,2025-01-03 18:26:58.215499063,32,2,3,Média,Fechado,Senha bloqueada,1.52,Sim,Não
101000,2025-01-03 18:44:00,,40,4,1,Média,Aberto,Troca de teclado,9.74,Sim,Não
106133,2025-01-04 09:18:00,2025-01-04 12:37:11.674126268,237,7,2,Alta,Fechado,Erro ao abrir aplicativo,3.32,Sim,Não
104492,2025-01-04 09:42:00,,233,5,8,Baixa,Pendente,Relatório não carrega,9.42,Sim,Não
108668,2025-01-04 09:50:00,2025-01-04 13:44:49.639644576,64,2,6,Baixa,Fechado,Problema para enviar e-mail,3.91,Sim,Não
107912,2025-01-04 11:00:00,2025-01-04 16:07:37.085345205,234,8,2,Alta,Fechado,Aplicativo travando,5.13,Sim,Não
100841,2025-01-04 12:02:00,,134,5,8,Baixa,Em Atendimento,Relatório não carrega,7.04,Sim,Não
105889,2025-01-04 12:18:00,2025-01-04 14:21:11.300393696,199,2,2,Média,Fechado,Atualização necessária,2.05,Sim,Não
109050,2025-01-04 13:33:00,2025-01-04 17:37:53.931593240,49,4,3,Média,Fechado,Solicitação de acesso,4.08,Sim,Não
104313,2025-01-04 14:19:00,2025-01-04 21:31:57.144380212,118,1,2,Baixa,Fechado,Aplicativo travando,7.22,Sim,Não
100554,2025-01-04 16:05:00,,38,5,4,Média,Em Atendimento,Sem internet,2.33,Sim,Não
106193,2025-01-04 16:38:00,2025-01-04 19:29:58.951174402,73,8,2,Média,Fechado,Erro ao abrir aplicativo,2.87,Sim,Não
103128,2025-01-04 18:55:00,,10,7,1,Baixa,Pendente,Monitor sem imagem,3.93,Sim,Não
104246,2025-01-05 07:43:00,,191,4,2,Baixa,Em Atendimento,Erro ao abrir aplicativo,9.25,Sim,Não
100356,2025-01-05 09:13:00,2025-01-05 10:28:02.252303704,166,8,7,Média,Fechado,Alerta de segurança,1.25,Sim,Não
109685,2025-01-05 09:51:00,,143,3,1,Média,Aberto,Troca de teclado,5.34,Sim,Não
109536,2025-01-05 10:12:00,2025-01-05 11:14:14.667896104,9,3,1,Crítica,Fechado,Troca de teclado,1.04,Sim,Não
102966,2025-01-05 14:59:00,,22,6,3,Média,Aberto,Senha bloqueada,4.02,Sim,Não
105797,2025-01-05 16:26:00,,109,3,6,Baixa,Em Atendimento,Caixa postal cheia,3.34,Sim,Não
100452,2025-01-05 16:27:00,2025-01-05 20:22:11.154730202,140,4,8,Média,Fechado,Relatório não carrega,3.92,Sim,Não
104133,2025-01-05 16:35:00,2025-01-05 23:29:26.674175592,108,6,2,Alta,Fechado,Aplicativo travando,6.91,Sim,Não
104185,2025-01-05 16:43:00,2025-01-05 18:41:28.307153823,138,1,2,Média,Fechado,Atualização necessária,1.97,Sim,Não
100612,2025-01-05 16:45:00,2025-01-05 22:33:17.066659989,187,5,2,Média,Fechado,Aplicativo travando,5.8,Sim,Sim
100109,2025-01-05 18:39:00,,158,5,8,Crítica,Pendente,Sistema indisponível,3.24,Sim,Não
103505,2025-01-06 08:46:00,2025-01-06 19:37:56.967483034,216,8,5,Baixa,Fechado,Impressora não imprime,10.87,Sim,Não
103985,2025-01-06 09:19:00,2025-01-06 12:36:19.754341342,50,3,6,Média,Fechado,Caixa postal cheia,3.29,Sim,Não
100550,2025-01-06 10:02:00,2025-01-06 14:42:42.001164480,33,1,2,Média,Fechado,Instalação de software,4.68,Sim,Não
107157,2025-01-06 10:26:00,2025-01-06 18:36:48.068381438,58,4,2,Baixa,Fechado,Erro ao abrir aplicativo,8.18,Sim,Não
107490,2025-01-06 11:37:00,2025-01-06 21:35:50.903424901,150,6,2,Baixa,Fechado,Aplicativo travando,9.98,Sim,Não
104323,2025-01-06 12:30:00,2025-01-06 14:56:47.904437385,27,5,4,Baixa,Fechado,Wi-Fi instável,2.45,Sim,Não
104315,2025-01-06 13:25:00,2025-01-06 16:49:05.129733704,57,8,4,Média,Fechado,Sem internet,3.4,Sim,Não
106453,2025-01-06 15:03:00,2025-01-06 23:54:52.288484641,242,4,2,Alta,Fechado,Instalação de software,8.86,Sim,Não
104241,2025-01-06 16:24:00,,140,3,2,Média,Pendente,Atualização necessária,3.38,Sim,Não
108273,2025-01-06 16:34:00,,224,1,8,Baixa,Em Atendimento,Problema no cadastro,8.52,Sim,Não
104083,2025-01-06 17:51:00,2025-01-06 22:37:05.864749647,38,2,4,Média,Fechado,Rede lenta,4.77,Sim,Não
106506,2025-01-07 07:06:00,,126,1,6,Crítica,Em Atendimento,Outlook com erro,0.94,Sim,Não
107243,2025-01-07 07:08:00,2025-01-07 17:57:48.753991938,240,2,2,Média,Fechado,Erro ao abrir aplicativo,10.83,Sim,Não
104703,2025-01-07 07:09:00,2025-01-07 19:07:47.519861466,59,7,1,Baixa,Fechado,Troca de teclado,11.98,Sim,Sim
107677,2025-01-07 07:58:00,2025-01-07 10:30:38.213681708,68,7,3,Média,Fechado,Permissão de pasta,2.54,Sim,Não
103579,2025-01-07 08:27:00,2025-01-07 13:49:08.550305619,35,3,1,Alta,Fechado,Computador não liga,5.37,Sim,Não
101107,2025-01-07 08:31:00,2025-01-07 08:49:00.000000000,240,3,6,Baixa,Fechado,Outlook com erro,0.3,Sim,Não
109833,2025-01-07 09:08:00,2025-01-07 09:56:28.361125026,83,5,6,Média,Fechado,Caixa postal cheia,0.81,Sim,Não
108464,2025-01-07 09:52:00,,177,7,3,Média,Pendente,Solicitação de acesso,3.47,Sim,Não
101164,2025-01-07 10:40:00,2025-01-07 21:08:48.574304716,167,5,5,Média,Fechado,Impressora não imprime,10.48,Sim,Não
105168,2025-01-07 11:23:00,2025-01-07 23:50:11.117704222,28,2,3,Baixa,Fechado,Solicitação de acesso,12.45,Não,Não
100801,2025-01-07 12:04:00,2025-01-07 14:19:46.579931910,230,1,6,Média,Fechado,Problema para enviar e-mail,2.26,Sim,Não
107095,2025-01-07 12:06:00,2025-01-07 20:00:13.821895101,158,1,2,Média,Fechado,Atualização necessária,7.9,Sim,Não
102532,2025-01-07 12:10:00,,190,5,6,Alta,Em Atendimento,E-mail não sincroniza,1.77,Sim,Não
105973,2025-01-07 12:33:00,2025-01-07 14:33:29.500443432,16,6,7,Baixa,Fechado,Incidente de segurança,2.01,Sim,Não
108784,2025-01-07 12:53:00,,123,5,5,Alta,Aberto,Fila de impressão travada,7.35,Sim,Não
100491,2025-01-07 14:02:00,2025-01-07 14:36:28.161792217,140,5,3,Média,Fechado,Permissão de pasta,0.57,Sim,Não
103375,2025-01-07 14:28:00,,213,5,2,Baixa,Em Atendimento,Erro ao abrir aplicativo,5.05,Sim,Não
106932,2025-01-07 14:51:00,,223,6,6,Baixa,Pendente,E-mail não sincroniza,2.86,Sim,Não
107107,2025-01-07 15:06:00,,134,4,8,Baixa,Aberto,Sistema indisponível,3.9,Sim,Não
101709,2025-01-07 16:34:00,2025-01-08 11:07:30.847997163,237,5,2,Baixa,Fechado,Instalação de software,18.56,Não,Não
101289,2025-01-07 18:58:00,2025-01-08 00:32:48.011554736,21,2,2,Média,Fechado,Aplicativo travando,5.58,Sim,Não
104636,2025-01-08 07:50:00,2025-01-08 19:02:46.489613202,38,1,1,Baixa,Fechado,Monitor sem imagem,11.21,Sim,Sim
101849,2025-01-08 07:58:00,,126,6,5,Média,Aberto,Configuração de impressora,6.76,Sim,Não
105097,2025-01-08 08:18:00,2025-01-08 10:36:07.388484260,182,3,8,Baixa,Fechado,Erro no sistema,2.3,Sim,Não
108702,2025-01-08 08:41:00,2025-01-08 10:19:55.807282982,194,2,4,Alta,Fechado,Rede lenta,1.65,Sim,Não
107185,2025-01-08 08:42:00,,205,1,2,Média,Pendente,Instalação de software,1.78,Sim,Não
109692,2025-01-08 09:40:00,,171,5,3,Baixa,Aberto,Criação de usuário,4.84,Sim,Não
109722,2025-01-08 10:35:00,2025-01-08 13:17:51.305790661,42,1,2,Crítica,Fechado,Instalação de software,2.71,Sim,Não
100334,2025-01-08 10:40:00,2025-01-08 19:59:36.685691554,121,6,1,Média,Fechado,Notebook lento,9.33,Sim,Não
100778,2025-01-08 10:46:00,,173,2,1,Baixa,Pendente,Computador não liga,16.65,Sim,Não
109172,2025-01-08 11:14:00,,63,7,4,Alta,Aberto,VPN não conecta,2.17,Sim,Não
102198,2025-01-08 11:23:00,2025-01-08 16:57:51.466201557,129,7,2,Alta,Fechado,Atualização necessária,5.58,Sim,Não
101440,2025-01-08 11:31:00,2025-01-09 01:30:16.049257958,31,2,1,Média,Fechado,Notebook lento,13.99,Sim,Não
109396,2025-01-08 12:28:00,,96,4,2,Baixa,Pendente,Instalação de software,6.82,Sim,Não
104223,2025-01-08 13:18:00,2025-01-08 23:57:30.377237288,96,8,2,Baixa,Fechado,Atualização necessária,10.66,Sim,Não
109810,2025-01-08 13:58:00,2025-01-08 22:37:00.241704568,66,7,2,Média,Fechado,Aplicativo travando,8.65,Sim,Não
103837,2025-01-08 15:11:00,,111,2,8,Média,Aberto,Erro no sistema,0.75,Sim,Não
100478,2025-01-08 15:45:00,2025-01-08 16:22:33.878704519,234,8,3,Média,Fechado,Permissão de pasta,0.63,Sim,Não
105709,2025-01-08 17:10:00,2025-01-08 19:40:40.534300706,88,3,4,Baixa,Fechado,Sem internet,2.51,Sim,Não
103028,2025-01-08 18:33:00,2025-01-08 23:57:17.709081112,183,2,6,Baixa,Fechado,Caixa postal cheia,5.4,Sim,Não
109676,2025-01-08 18:41:00,2025-01-08 19:27:33.986797212,148,8,2,Alta,Fechado,Erro ao abrir aplicativo,0.78,Sim,Não
102371,2025-01-08 18:42:00,2025-01-09 02:26:08.758834717,127,2,8,Baixa,Fechado,Problema no cadastro,7.74,Sim,Não
104889,2025-01-09 07:24:00,2025-01-09 09:04:21.023121442,207,6,8,Média,Fechado,Relatório não carrega,1.67,Sim,Não
104453,2025-01-09 07:38:00,,82,2,2,Crítica,Em Atendimento,Aplicativo travando,0.71,Sim,Não
100253,2025-01-09 08:05:00,2025-01-09 15:12:53.693234597,113,6,6,Baixa,Fechado,Outlook com erro,7.13,Sim,Sim
101275,2025-01-09 09:43:00,2025-01-09 11:19:26.501886233,9,6,4,Alta,Fechado,Wi-Fi instável,1.61,Sim,Não
108699,2025-01-09 10:27:00,,163,5,2,Baixa,Em Atendimento,Instalação de software,2.46,Sim,Não
108032,2025-01-09 12:11:00,,113,6,4,Média,Em Atendimento,Sem internet,3.3,Sim,Não
105664,2025-01-09 13:19:00,2025-01-09 18:41:09.295109547,118,5,3,Baixa,Fechado,Criação de usuário,5.37,Sim,Não
107726,2025-01-09 13:57:00,2025-01-10 04:04:28.784981460,61,1,1,Média,Fechado,Monitor sem imagem,14.12,Sim,Não
108854,2025-01-09 15:29:00,,131,1,1,Média,Pendente,Troca de teclado,5.12,Sim,Não
106588,2025-01-09 18:17:00,2025-01-09 21:52:08.355558260,5,7,3,Baixa,Fechado,Solicitação de acesso,3.59,Sim,Não
107200,2025-01-09 18:43:00,2025-01-09 22:59:03.838756854,184,5,2,Média,Fechado,Aplicativo travando,4.27,Sim,Não
108686,2025-01-10 07:00:00,2025-01-10 09:42:29.500886635,7,8,2,Média,Fechado,Aplicativo travando,2.71,Sim,Não
100581,2025-01-10 07:18:00,2025-01-10 12:20:13.239571113,155,5,2,Baixa,Fechado,Instalação de software,5.04,Sim,Não
108007,2025-01-10 07:28:00,2025-01-10 08:58:16.769969459,239,3,4,Alta,Fechado,Rede lenta,1.5,Sim,Não
109412,2025-01-10 07:41:00,,236,1,2,Baixa,Em Atendimento,Atualização necessária,7.41,Sim,Não
105070,2025-01-10 09:08:00,,97,1,4,Média,Aberto,VPN não conecta,1.57,Sim,Não
101975,2025-01-10 09:37:00,2025-01-10 18:44:43.616652585,178,7,1,Média,Fechado,Computador não liga,9.13,Sim,Não
103059,2025-01-10 10:05:00,2025-01-11 04:41:36.727012742,183,8,5,Alta,Fechado,Toner não reconhecido,18.61,Sim,Sim
101836,2025-01-10 10:32:00,2025-01-10 15:48:07.672218646,82,6,3,Média,Fechado,Senha bloqueada,5.27,Sim,Não
105426,2025-01-10 11:01:00,2025-01-11 03:48:02.826010870,76,2,1,Média,Fechado,Troca de teclado,16.78,Sim,Não
107472,2025-01-10 11:26:00,2025-01-10 16:50:36.495201945,52,7,1,Baixa,Fechado,Troca de teclado,5.41,Sim,Não
103180,2025-01-10 12:02:00,,106,4,1,Baixa,Aberto,Notebook lento,14.25,Sim,Não
102762,2025-01-10 12:26:00,2025-01-10 14:26:12.159707040,12,1,6,Baixa,Fechado,Caixa postal cheia,2.0,Sim,Não
106365,2025-01-10 12:30:00,2025-01-10 13:54:25.905581233,96,2,3,Baixa,Fechado,Permissão de pasta,1.41,Sim,Não
101382,2025-01-10 13:12:00,2025-01-10 14:07:50.837620947,99,5,1,Média,Fechado,Monitor sem imagem,0.93,Sim,Não
108294,2025-01-10 13:53:00,,133,8,7,Média,Pendente,Alerta de segurança,0.45,Sim,Não
104130,2025-01-10 14:15:00,2025-01-10 14:59:28.100663797,235,2,4,Média,Fechado,Sem internet,0.74,Sim,Não
100353,2025-01-10 15:58:00,2025-01-11 01:40:07.017883041,71,4,1,Baixa,Fechado,Computador não liga,9.7,Sim,Não
101573,2025-01-10 18:38:00,2025-01-10 20:49:57.492254148,10,6,4,Média,Fechado,Sem internet,2.2,Sim,Não
105478,2025-01-10 18:49:00,,74,4,1,Média,Aberto,Computador não liga,13.72,Sim,Não
107420,2025-01-11 07:07:00,2025-01-11 13:03:25.517247486,211,4,1,Baixa,Fechado,Troca de teclado,5.94,Sim,Não
101244,2025-01-11 07:09:00,,65,4,4,Alta,Em Atendimento,VPN não conecta,0.47,Sim,Não
103907,2025-01-11 10:00:00,2025-01-11 17:59:49.074391456,181,5,8,Média,Fechado,Relatório não carrega,8.0,Sim,Não
108676,2025-01-11 10:02:00,2025-01-11 15:58:23.563046414,163,6,5,Média,Fechado,Impressora não imprime,5.94,Sim,Não
100673,2025-01-11 10:35:00,2025-01-11 14:12:51.239024655,91,5,6,Média,Fechado,Outlook com erro,3.63,Sim,Não
107220,2025-01-11 10:45:00,2025-01-11 12:07:00.917732910,172,1,2,Média,Fechado,Instalação de software,1.37,Sim,Não
108058,2025-01-11 12:32:00,,129,7,6,Alta,Pendente,Problema para enviar e-mail,3.05,Sim,Não
101019,2025-01-11 14:50:00,2025-01-11 18:33:30.181910350,235,3,6,Média,Fechado,Caixa postal cheia,3.73,Sim,Não
103540,2025-01-11 14:54:00,2025-01-11 20:05:17.943761382,32,2,3,Média,Fechado,Criação de usuário,5.19,Sim,Não
109691,2025-01-11 15:09:00,2025-01-11 17:41:01.259337408,189,6,3,Baixa,Fechado,Permissão de pasta,2.53,Sim,Não
108119,2025-01-11 15:35:00,2025-01-11 18:50:47.002853160,14,8,2,Baixa,Fechado,Aplicativo travando,3.26,Sim,Não
105836,2025-01-11 15:59:00,,250,8,7,Média,Aberto,Antivírus bloqueando arquivo,0.79,Sim,Não
100874,2025-01-11 17:39:00,2025-01-12 05:13:52.734496846,115,2,8,Crítica,Fechado,Erro no sistema,11.58,Sim,Não
104405,2025-01-12 07:42:00,2025-01-12 17:51:22.430998609,12,3,5,Baixa,Fechado,Configuração de impressora,10.16,Sim,Sim
104511,2025-01-12 07:58:00,2025-01-12 10:08:59.792188227,91,8,1,Alta,Fechado,Computador não liga,2.18,Sim,Não
101989,2025-01-12 08:09:00,2025-01-12 15:43:12.832427769,131,5,6,Alta,Fechado,Caixa postal cheia,7.57,Sim,Não
101417,2025-01-12 08:17:00,2025-01-12 19:10:00.556504652,167,5,8,Média,Fechado,Relatório não carrega,10.88,Sim,Não
102780,2025-01-12 08:56:00,2025-01-12 11:57:06.733215310,210,2,2,Alta,Fechado,Instalação de software,3.02,Sim,Não
101511,2025-01-12 09:10:00,2025-01-12 14:55:07.793437122,148,5,3,Baixa,Fechado,Criação de usuário,5.75,Sim,Não
107530,2025-01-12 09:57:00,2025-01-13 00:45:47.301666642,100,4,1,Baixa,Fechado,Monitor sem imagem,14.81,Sim,Não
101738,2025-01-12 09:58:00,2025-01-12 13:36:33.410350446,101,7,5,Alta,Fechado,Toner não reconhecido,3.64,Sim,Não
104905,2025-01-12 11:32:00,,173,7,2,Alta,Aberto,Erro ao abrir aplicativo,2.09,Sim,Não
109255,2025-01-12 12:44:00,,105,2,4,Baixa,Pendente,VPN não conecta,2.91,Sim,Não
100329,2025-01-12 13:13:00,,118,2,8,Média,Pendente,Erro no sistema,10.63,Sim,Não
108409,2025-01-12 13:42:00,2025-01-12 15:19:13.774139684,213,2,2,Crítica,Fechado,Instalação de software,1.62,Sim,Não
101698,2025-01-12 14:08:00,2025-01-12 16:09:58.790453880,103,5,4,Alta,Fechado,VPN não conecta,2.03,Sim,Não
105694,2025-01-12 14:11:00,,55,2,3,Alta,Em Atendimento,Permissão de pasta,2.13,Sim,Não
109438,2025-01-12 14:43:00,,230,7,2,Média,Em Atendimento,Erro ao abrir aplicativo,9.27,Sim,Não
108622,2025-01-12 15:28:00,,128,4,3,Baixa,Em Atendimento,Solicitação de acesso,3.05,Sim,Não
107217,2025-01-12 15:51:00,2025-01-13 02:43:56.827551003,30,8,3,Baixa,Fechado,Criação de usuário,10.88,Não,Não
101300,2025-01-12 16:05:00,,175,7,4,Alta,Aberto,VPN não conecta,4.38,Sim,Não
107044,2025-01-12 16:17:00,2025-01-12 17:38:12.119043272,9,1,3,Baixa,Fechado,Criação de usuário,1.35,Sim,Não
100183,2025-01-12 16:46:00,2025-01-12 18:50:09.300283464,242,7,3,Alta,Fechado,Criação de usuário,2.07,Sim,Não
104541,2025-01-12 17:04:00,2025-01-12 18:35:59.835725842,136,1,7,Média,Fechado,Antivírus bloqueando arquivo,1.53,Sim,Não
100921,2025-01-12 17:26:00,2025-01-12 18:09:42.001674740,161,6,4,Baixa,Fechado,Rede lenta,0.73,Sim,Não
109740,2025-01-12 17:55:00,,43,8,6,Média,Em Atendimento,Problema para enviar e-mail,1.34,Sim,Não
109235,2025-01-12 18:02:00,2025-01-13 03:05:39.663990889,220,8,5,Baixa,Fechado,Configuração de impressora,9.06,Sim,Não
101656,2025-01-12 18:10:00,2025-01-13 03:18:21.739703189,28,2,1,Alta,Fechado,Troca de teclado,9.14,Sim,Não
106576,2025-01-12 18:13:00,2025-01-13 00:43:53.558258979,210,7,8,Baixa,Fechado,Relatório não carrega,6.51,Sim,Não
102899,2025-01-12 18:36:00,2025-01-12 21:27:11.304815184,23,7,6,Média,Fechado,E-mail não sincroniza,2.85,Sim,Não
107422,2025-01-12 18:55:00,,86,3,2,Baixa,Pendente,Aplicativo travando,11.27,Sim,Não
103268,2025-01-12 18:57:00,2025-01-12 20:31:15.818521756,137,5,3,Média,Fechado,Criação de usuário,1.57,Sim,Não
105334,2025-01-13 07:03:00,2025-01-14 21:02:17.242009904,226,3,5,Baixa,Fechado,Fila de impressão travada,37.99,Não,Não
101800,2025-01-13 07:41:00,,181,2,3,Média,Aberto,Permissão de pasta,1.46,Sim,Não
108218,2025-01-13 07:54:00,2025-01-13 11:29:10.198004456,234,5,3,Baixa,Fechado,Senha bloqueada,3.59,Sim,Não
104025,2025-01-13 08:42:00,,38,5,3,Média,Em Atendimento,Criação de usuário,3.36,Sim,Não
109956,2025-01-13 09:24:00,2025-01-13 15:03:28.919201349,33,6,6,Média,Fechado,Problema para enviar e-mail,5.66,Sim,Não
101981,2025-01-13 10:04:00,2025-01-13 11:40:51.140623521,22,1,4,Média,Fechado,VPN não conecta,1.61,Sim,Não
105130,2025-01-13 11:24:00,,123,5,4,Média,Pendente,Sem internet,3.86,Sim,Não
105801,2025-01-13 12:35:00,2025-01-13 20:40:10.975305912,10,2,5,Baixa,Fechado,Fila de impressão travada,8.09,Sim,Não
102833,2025-01-13 12:48:00,2025-01-13 21:17:34.629493833,81,5,5,Média,Fechado,Impressora não imprime,8.49,Sim,Não
108033,2025-01-13 14:21:00,2025-01-13 21:36:30.629219176,94,6,3,Baixa,Fechado,Criação de usuário,7.26,Sim,Não
103894,2025-01-13 14:34:00,2025-01-13 19:47:07.623226646,19,2,2,Baixa,Fechado,Erro ao abrir aplicativo,5.22,Sim,Não
106851,2025-01-13 14:50:00,,117,8,4,Média,Em Atendimento,Wi-Fi instável,2.31,Sim,Não
108281,2025-01-13 15:15:00,2025-01-13 19:55:33.592806152,180,8,6,Média,Fechado,Caixa postal cheia,4.68,Sim,Não
102735,2025-01-13 15:47:00,2025-01-13 19:44:35.734601761,58,3,8,Baixa,Fechado,Relatório não carrega,3.96,Sim,Não
102668,2025-01-13 15:53:00,2025-01-14 05:00:08.558843523,145,2,1,Baixa,Fechado,Monitor sem imagem,13.12,Sim,Não
104256,2025-01-13 16:17:00,,43,5,2,Média,Pendente,Atualização necessária,4.33,Sim,Não
102813,2025-01-13 17:19:00,2025-01-13 19:29:38.031109388,145,1,6,Baixa,Fechado,E-mail não sincroniza,2.18,Sim,Não
100584,2025-01-13 17:42:00,2025-01-13 23:02:21.373854111,140,2,3,Baixa,Fechado,Solicitação de acesso,5.34,Sim,Não
103832,2025-01-13 17:55:00,2025-01-15 04:51:36.498838120,199,1,5,Baixa,Fechado,Configuração de impressora,34.94,Não,Não
106238,2025-01-13 17:55:00,2025-01-14 07:22:12.661226769,155,5,8,Média,Fechado,Erro no sistema,13.45,Não,Não
105501,2025-01-13 18:44:00,2025-01-13 22:16:38.200822040,198,5,5,Baixa,Fechado,Toner não reconhecido,3.54,Sim,Não
101299,2025-01-14 07:28:00,2025-01-14 16:50:50.905045866,76,5,3,Média,Fechado,Criação de usuário,9.38,Não,Não
